  ...ailsModal.tsx |   96.77 |    92.75 |   90.47 |      96 | 63,194
  ...leManager.tsx |   94.02 |    97.61 |    87.5 |   95.31 | 93,111,183
  ...gsContext.tsx |   95.45 |       90 |     100 |   95.45 | 54,90
  Skeleton.tsx     |     100 |      100 |     100 |     100 |
  TitleBar.tsx     |     100 |      100 |     100 |     100 |
  Toast.tsx        |     100 |      100 |     100 |     100 |
  ToastContext.tsx |     100 |      100 |     100 |     100 |
  UpdateDialog.tsx |     100 |      100 |     100 |     100 |
 ...omponents/mods |   97.14 |    96.92 |     100 |     100 |
  ModCard.tsx      |     100 |    98.03 |     100 |     100 | 122
  ModGrid.tsx      |   94.11 |    92.85 |     100 |     100 | 36
 src/components/ui |     100 |      100 |     100 |     100 |
  Badge.tsx        |     100 |      100 |     100 |     100 |
  Button.tsx       |     100 |      100 |     100 |     100 |
  Card.tsx         |     100 |      100 |     100 |     100 |
  Switch.tsx       |     100 |      100 |     100 |     100 |
 src/layouts       |     100 |       90 |     100 |     100 |
  MainLayout.tsx   |     100 |       90 |     100 |     100 | 53
 src/lib           |     100 |      100 |     100 |     100 |
  utils.ts         |     100 |      100 |     100 |     100 |
 src/pages         |   94.08 |    84.54 |   95.95 |    94.3 |
  Dashboard.tsx    |   93.75 |      100 |   81.81 |   96.66 | 164
  Mods.tsx         |   93.66 |    81.72 |    97.5 |   93.53 | ...91-396,432-433
  Settings.tsx     |     100 |      100 |     100 |     100 |
-------------------|---------|----------|---------|---------|-------------------
